"Notes"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Age"	"Age Code"	"Gender"	"Gender Code"	Population
	"1990"	"1990"	"< 1 year"	"0"	"Female"	"F"	1946978
	"1990"	"1990"	"< 1 year"	"0"	"Male"	"M"	2039510
	"1990"	"1990"	"1 year"	"1"	"Female"	"F"	1855951
	"1990"	"1990"	"1 year"	"1"	"Male"	"M"	1944681
	"1990"	"1990"	"2 years"	"2"	"Female"	"F"	1811773
	"1990"	"1990"	"2 years"	"2"	"Male"	"M"	1899603
	"1990"	"1990"	"3 years"	"3"	"Female"	"F"	1786893
	"1990"	"1990"	"3 years"	"3"	"Male"	"M"	1871983
	"1990"	"1990"	"4 years"	"4"	"Female"	"F"	1805224
	"1990"	"1990"	"4 years"	"4"	"Male"	"M"	1893851
	"1990"	"1990"	"5 years"	"5"	"Female"	"F"	1797847
	"1990"	"1990"	"5 years"	"5"	"Male"	"M"	1886255
	"1990"	"1990"	"6 years"	"6"	"Female"	"F"	1739053
	"1990"	"1990"	"6 years"	"6"	"Male"	"M"	1822535
	"1990"	"1990"	"7 years"	"7"	"Female"	"F"	1779261
	"1990"	"1990"	"7 years"	"7"	"Male"	"M"	1863790
	"1990"	"1990"	"8 years"	"8"	"Female"	"F"	1713686
	"1990"	"1990"	"8 years"	"8"	"Male"	"M"	1795717
	"1990"	"1990"	"9 years"	"9"	"Female"	"F"	1793057
	"1990"	"1990"	"9 years"	"9"	"Male"	"M"	1885545
	"1990"	"1990"	"10 years"	"10"	"Female"	"F"	1806828
	"1990"	"1990"	"10 years"	"10"	"Male"	"M"	1902628
	"1990"	"1990"	"11 years"	"11"	"Female"	"F"	1697734
	"1990"	"1990"	"11 years"	"11"	"Male"	"M"	1782867
	"1990"	"1990"	"12 years"	"12"	"Female"	"F"	1650172
	"1990"	"1990"	"12 years"	"12"	"Male"	"M"	1728912
	"1990"	"1990"	"13 years"	"13"	"Female"	"F"	1652838
	"1990"	"1990"	"13 years"	"13"	"Male"	"M"	1731870
	"1990"	"1990"	"14 years"	"14"	"Female"	"F"	1588101
	"1990"	"1990"	"14 years"	"14"	"Male"	"M"	1670937
	"1990"	"1990"	"15 years"	"15"	"Female"	"F"	1627572
	"1990"	"1990"	"15 years"	"15"	"Male"	"M"	1719224
	"1990"	"1990"	"16 years"	"16"	"Female"	"F"	1595041
	"1990"	"1990"	"16 years"	"16"	"Male"	"M"	1691553
	"1990"	"1990"	"17 years"	"17"	"Female"	"F"	1666424
	"1990"	"1990"	"17 years"	"17"	"Male"	"M"	1772618
	"1990"	"1990"	"18 years"	"18"	"Female"	"F"	1755990
	"1990"	"1990"	"18 years"	"18"	"Male"	"M"	1843621
	"1990"	"1990"	"19 years"	"19"	"Female"	"F"	2010482
	"1990"	"1990"	"19 years"	"19"	"Male"	"M"	2089068
	"1990"	"1990"	"20 years"	"20"	"Female"	"F"	1983876
	"1990"	"1990"	"20 years"	"20"	"Male"	"M"	2070240
	"1990"	"1990"	"21 years"	"21"	"Female"	"F"	1875420
	"1990"	"1990"	"21 years"	"21"	"Male"	"M"	1961407
	"1990"	"1990"	"22 years"	"22"	"Female"	"F"	1797696
	"1990"	"1990"	"22 years"	"22"	"Male"	"M"	1873650
	"1990"	"1990"	"23 years"	"23"	"Female"	"F"	1824071
	"1990"	"1990"	"23 years"	"23"	"Male"	"M"	1884211
	"1990"	"1990"	"24 years"	"24"	"Female"	"F"	1915188
	"1990"	"1990"	"24 years"	"24"	"Male"	"M"	1964627
	"1990"	"1990"	"25 years"	"25"	"Female"	"F"	2017380
	"1990"	"1990"	"25 years"	"25"	"Male"	"M"	2055280
	"1990"	"1990"	"26 years"	"26"	"Female"	"F"	2088255
	"1990"	"1990"	"26 years"	"26"	"Male"	"M"	2105712
	"1990"	"1990"	"27 years"	"27"	"Female"	"F"	2135671
	"1990"	"1990"	"27 years"	"27"	"Male"	"M"	2154225
	"1990"	"1990"	"28 years"	"28"	"Female"	"F"	2069754
	"1990"	"1990"	"28 years"	"28"	"Male"	"M"	2077094
	"1990"	"1990"	"29 years"	"29"	"Female"	"F"	2283730
	"1990"	"1990"	"29 years"	"29"	"Male"	"M"	2289946
	"1990"	"1990"	"30 years"	"30"	"Female"	"F"	2260895
	"1990"	"1990"	"30 years"	"30"	"Male"	"M"	2254553
	"1990"	"1990"	"31 years"	"31"	"Female"	"F"	2183483
	"1990"	"1990"	"31 years"	"31"	"Male"	"M"	2164867
	"1990"	"1990"	"32 years"	"32"	"Female"	"F"	2199813
	"1990"	"1990"	"32 years"	"32"	"Male"	"M"	2179286
	"1990"	"1990"	"33 years"	"33"	"Female"	"F"	2194564
	"1990"	"1990"	"33 years"	"33"	"Male"	"M"	2161517
	"1990"	"1990"	"34 years"	"34"	"Female"	"F"	2177981
	"1990"	"1990"	"34 years"	"34"	"Male"	"M"	2161814
	"1990"	"1990"	"35 years"	"35"	"Female"	"F"	2150152
	"1990"	"1990"	"35 years"	"35"	"Male"	"M"	2128501
	"1990"	"1990"	"36 years"	"36"	"Female"	"F"	2055598
	"1990"	"1990"	"36 years"	"36"	"Male"	"M"	2017027
	"1990"	"1990"	"37 years"	"37"	"Female"	"F"	2020625
	"1990"	"1990"	"37 years"	"37"	"Male"	"M"	1979312
	"1990"	"1990"	"38 years"	"38"	"Female"	"F"	1872858
	"1990"	"1990"	"38 years"	"38"	"Male"	"M"	1830843
	"1990"	"1990"	"39 years"	"39"	"Female"	"F"	1982194
	"1990"	"1990"	"39 years"	"39"	"Male"	"M"	1953185
	"1990"	"1990"	"40 years"	"40"	"Female"	"F"	1921308
	"1990"	"1990"	"40 years"	"40"	"Male"	"M"	1879921
	"1990"	"1990"	"41 years"	"41"	"Female"	"F"	1843766
	"1990"	"1990"	"41 years"	"41"	"Male"	"M"	1789684
	"1990"	"1990"	"42 years"	"42"	"Female"	"F"	1835038
	"1990"	"1990"	"42 years"	"42"	"Male"	"M"	1784825
	"1990"	"1990"	"43 years"	"43"	"Female"	"F"	1951248
	"1990"	"1990"	"43 years"	"43"	"Male"	"M"	1894278
	"1990"	"1990"	"44 years"	"44"	"Female"	"F"	1462341
