SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
010,0,0,0,United States,0,0,3944160,3951330,3963071,3926665,3945610,3948350
010,0,0,0,United States,0,1,3978090,3957888,3966510,3978006,3943077,3962123
010,0,0,0,United States,0,2,4096939,4090862,3971573,3979952,3992690,3957772
010,0,0,0,United States,0,3,4119051,4111920,4102501,3983049,3992425,4005190
010,0,0,0,United States,0,4,4063186,4077552,4122303,4112638,3994047,4003448
010,0,0,0,United States,0,5,4056872,4064653,4087713,4132210,4123408,4004858
010,0,0,0,United States,0,6,4066412,4073013,4074979,4097780,4143094,4134352
010,0,0,0,United States,0,7,4030594,4043047,4083240,4084964,4108615,4154000
010,0,0,0,United States,0,8,4046497,4025604,4053206,4093213,4095827,4119524
010,0,0,0,United States,0,9,4148369,4125415,4035769,4063193,4104133,4106832
010,0,0,0,United States,0,10,4172559,4187063,4135617,4045840,4074206,4115254
010,0,0,0,United States,0,11,4114443,4115511,4197472,4145919,4057128,4085636
010,0,0,0,United States,0,12,4106261,4113280,4126168,4208013,4157449,4068790
010,0,0,0,United States,0,13,4118055,4119666,4124244,4136951,4219776,4169346
010,0,0,0,United States,0,14,4166059,4145614,4131487,4135749,4149559,4232480
010,0,0,0,United States,0,15,4242946,4231003,4158977,4144326,4149781,4163723
010,0,0,0,United States,0,16,4316311,4313252,4247472,4174855,4161624,4167234
010,0,0,0,United States,0,17,4395196,4375335,4334068,4267749,4196868,4184077
010,0,0,0,United States,0,18,4482436,4475045,4387329,4345329,4279458,4209973
010,0,0,0,United States,0,19,4533367,4521326,4473487,4382504,4336314,4274100
010,0,0,0,United States,0,20,4452570,4501479,4538720,4489348,4395655,4353919
010,0,0,0,United States,0,21,4280116,4312779,4521606,4561557,4509570,4418106
010,0,0,0,United States,0,22,4188277,4208342,4337270,4548601,4589669,4537358
010,0,0,0,United States,0,23,4122825,4140920,4239942,4371774,4585110,4625145
010,0,0,0,United States,0,24,4176523,4170512,4174013,4275219,4409458,4622549
010,0,0,0,United States,0,25,4194777,4221032,4201927,4208137,4311735,4445674
